decimalLongitude,decimalLatitude,agricultural,built,coast,forest,other,sand/heather,water,wetland,main_habitat
6.1,51.1,0.5767,0.1096,0.0,1.9205999999999999,0.184,0.0045,0.0075,0.0708,forest
6.15,51.1,0.0421,0.0,0.0,0.0959,0.0,0.0,0.0,0.0028,forest
5.65,51.15,3.2523,0.3388,0.0,1.5965,0.2996,0.0036,0.0179,0.0849,agricultural
5.7,51.15,3.2029,1.8596,0.0,0.2828,0.49860000000000004,0.0,0.0063,0.0,agricultural
5.75,51.15,9.6259,0.8129,0.0,0.8093,0.537,0.0217,0.0451,0.0,agricultural
5.8,51.15,9.8778,3.0324,0.0,0.8054,1.4833,0.0014,0.5428,0.0,agricultural
5.85,51.15,5.9405,3.6273,0.0,1.4956,2.732,0.0247,5.4934,0.1373,agricultural
5.9,51.15,7.8976,2.4751,0.0,1.5529,2.2676,0.06920000000000001,5.183199999999999,0.0036,agricultural
5.95,51.15,7.6183,5.6292,0.0,1.1704,2.336,0.0017,2.6907,0.0032,agricultural
6.0,51.15,7.4933000000000005,6.5653,0.0,2.1771000000000003,2.7259,0.27730000000000005,0.1805,0.0313,agricultural
6.05,51.15,5.1219,2.5091,0.0,3.4291,2.0205,0.3552,0.0423,0.2157,agricultural
6.1,51.15,0.7623,0.0,0.0,6.786899999999999,0.1845,3.3234,0.0073,0.6241,forest
6.15,51.15,2.2801,0.1034,0.0,1.76,0.1509,0.1717,0.0055,0.002,agricultural
3.75,51.2,0.9096,1.6299,0.0,0.1704,0.3329,0.0,0.010499999999999999,0.0,built
3.8,51.2,10.4062,1.618,0.0,0.3669,0.9601999999999999,0.0,1.5988,0.0191,agricultural
3.85,51.2,12.935599999999999,0.5851,0.0,0.4788,0.6275000000000001,0.0,0.1238,0.0003,agricultural
3.9,51.2,12.4946,0.8116,0.0,0.6083000000000001,0.5583,0.0,0.1396,0.1759,agricultural
3.95,51.2,6.3607,1.2816,0.0,0.6943,0.498,0.0,0.099,0.2066,agricultural
4.0,51.2,1.6215000000000002,0.43,0.0,0.4743,0.1689,0.0,0.0205,0.0,agricultural
4.05,51.2,0.35569999999999996,0.0855,0.0,0.304,0.0155,0.0,0.0,0.0,agricultural
5.55,51.2,4.1155,1.2455,0.0,2.3285,0.8505,0.4086,0.0696,1.7006000000000001,agricultural
5.6,51.2,3.9086000000000003,1.6874,0.0,5.069,1.5726,3.0121,0.1762,1.7534,forest
5.65,51.2,9.666699999999999,3.8882,0.0,3.3228,2.0917,0.1305,0.2606,0.0646,agricultural
5.7,51.2,11.449900000000001,3.8529,0.0,2.1097,1.6591,0.0769,0.1086,0.1739,agricultural
5.75,51.2,12.8217,1.7393,0.0,3.3678,1.1802,0.0011,0.2431,0.0766,agricultural
5.8,51.2,13.921100000000001,2.4392,0.0,1.5684,1.2779,0.0067,0.2149,0.0,agricultural
5.85,51.2,13.4643,2.4818,0.0,2.1967,1.1102,0.0896,0.0572,0.0288,agricultural
5.9,51.2,6.7504,2.147,0.0,7.6108,1.6966,0.9432999999999999,0.1075,0.1743,forest
5.95,51.2,9.181700000000001,4.4037,0.0,0.8784,2.1353,0.0087,2.8102,0.0107,agricultural
6.0,51.2,9.375399999999999,3.9635,0.0,2.0427,2.5925,0.0002,1.4239,0.0306,agricultural
6.05,51.2,4.2544,0.8757,0.0,3.8837,0.5872999999999999,0.15810000000000002,0.0736,0.0552,agricultural
3.35,51.25,5.313,0.13,0.0,0.0060999999999999995,0.1804,0.0,0.123,0.0,agricultural
3.4,51.25,15.373600000000001,1.2644,0.0,0.1104,0.7729,0.0,0.21539999999999998,0.0291,agricultural
3.45,51.25,17.3206,0.8094,0.0,0.1848,0.6111,0.0,0.3568,0.1285,agricultural
3.5,51.25,10.2594,0.2722,0.0,0.0209,0.3518,0.0,0.0275,0.0917,agricultural
3.65,51.25,5.9831,0.1072,0.0,0.031,0.1338,0.0,0.0154,0.0558,agricultural
3.7,51.25,9.1384,0.6541,0.0,0.5393,0.3437,0.0,0.1286,0.0,agricultural
3.75,51.25,13.0561,1.0504,0.0,0.2898,0.6536,0.0,0.1134,0.0697,agricultural
3.8,51.25,12.2239,3.616,0.0,0.19210000000000002,1.8055999999999999,0.0,1.572,0.0,agricultural
3.85,51.25,12.3766,3.1813,0.0,0.8360000000000001,1.9188999999999998,0.0,0.6697,0.4279,agricultural
3.9,51.25,14.6437,1.9986,0.0,1.06,1.1779,0.0,0.32030000000000003,0.2099,agricultural
3.95,51.25,17.0096,0.43,0.0,0.8132,0.6162,0.0,0.3384,0.202,agricultural
4.0,51.25,14.5719,3.1196,0.0,0.1584,1.1322999999999999,0.0,0.21250000000000002,0.2149,agricultural
4.05,51.25,8.9594,3.9997,0.0,2.3052,2.1904,0.0,0.3221,0.1223,agricultural
4.1,51.25,9.0334,0.1064,0.0,0.1181,0.30319999999999997,0.0,0.13390000000000002,0.19820000000000002,agricultural
5.2,51.25,2.7673,0.1019,0.0,1.8294,0.2634,0.0236,0.0103,0.0,agricultural
5.25,51.25,5.0924000000000005,0.2477,0.0,6.4991,0.8867,1.1274,0.0027,0.0,forest
5.3,51.25,9.322099999999999,1.789,0.0,1.6816,0.8014,0.0491,0.0443,0.0097,agricultural
5.35,51.25,7.4628,0.3791,0.0,2.6971000000000003,0.498,0.003,0.219,0.1164,agricultural
5.4,51.25,4.8758,0.4903,0.0,3.6876,0.5972,1.272,0.0403,0.3074,agricultural
5.45,51.25,2.5568999999999997,0.3671,0.0,0.1239,0.1623,0.028,0.0031,0.0018,agricultural
5.5,51.25,2.719,0.3094,0.0,1.0893000000000002,0.1889,1.4540000000000002,0.0359,0.0866,agricultural
5.55,51.25,10.0295,5.3919,0.0,1.1279,1.7004,0.1835,0.0379,0.0,agricultural
5.6,51.25,5.8969,0.5194,0.0,7.6091,1.8969,3.0719,0.0838,0.3297,forest
5.65,51.25,10.026,3.1137,0.0,4.0207,2.0338000000000003,0.0297,0.1109,0.0737,agricultural
5.7,51.25,7.2188,9.1073,0.0,0.1184,2.6849,0.0,0.2776,0.0,built
5.75,51.25,10.951699999999999,3.9191,0.0,1.6723,1.5773000000000001,0.0053,0.419,0.8633000000000001,agricultural
5.8,51.25,14.4261,0.7642,0.0,2.7627,0.6443,0.045,0.0499,0.716,agricultural
5.85,51.25,11.232,1.9793,0.0,5.055,1.0181,0.0118,0.07840000000000001,0.0315,agricultural
5.9,51.25,9.3012,2.8128,0.0,5.1436,2.074,0.0179,0.0465,0.0122,agricultural
5.95,51.25,11.8656,1.921,0.0,4.1469000000000005,1.1449,0.0198,0.2693,0.040799999999999996,agricultural
6.0,51.25,11.2857,2.7505,0.0,2.1879,1.7217,0.0217,1.4393,0.0013,agricultural
6.05,51.25,9.052900000000001,3.8572,0.0,2.754,2.7325,0.0039,0.6787000000000001,0.0031,agricultural
6.1,51.25,5.9421,0.9616,0.0,0.6311,0.496,0.0,0.06889999999999999,0.0112,agricultural
3.35,51.3,7.6529,1.1427,0.0494,0.24869999999999998,0.7419,0.0,0.2338,0.0923,agricultural
3.4,51.3,17.729,0.4046,0.0,0.3573,0.6842,0.0,0.19140000000000001,0.0244,agricultural
3.45,51.3,14.9519,1.9311,0.0,0.30670000000000003,1.4929999999999999,0.0,0.5389999999999999,0.1691,agricultural
3.5,51.3,17.194399999999998,0.8181,0.0,0.2894,0.7401,0.0,0.26780000000000004,0.0804,agricultural
3.55,51.3,17.477800000000002,0.574,0.0,0.18710000000000002,0.614,0.0,0.1388,0.0,agricultural
3.6,51.3,16.8778,1.0003,0.0,0.4525,0.9165,0.0,0.10420000000000001,0.0,agricultural
3.65,51.3,16.6845,1.0712,0.0,0.44239999999999996,0.9694,0.0,0.2222,0.0,agricultural
3.7,51.3,11.6638,2.0196,0.3947,2.3131,1.2397,0.0,1.59,0.1692,agricultural
3.75,51.3,10.1494,5.3912,0.7311,0.1984,1.9435,0.0,0.9454999999999999,0.0298,agricultural
3.8,51.3,5.4317,5.4041,3.8087,0.137,3.0239,0.0,1.4594,0.1238,agricultural
3.85,51.3,10.7833,2.8604,2.751,0.3686,1.4377,0.0,1.1864,0.0024,agricultural
3.9,51.3,17.535700000000002,1.02,0.0,0.0576,0.6533,0.0,0.1036,0.0182,agricultural
3.95,51.3,16.3023,1.2371,0.0,0.09250000000000001,1.1298,0.0,0.4655,0.161,agricultural
4.0,51.3,17.3568,0.7481,0.0,0.11149999999999999,0.5523,0.0,0.5141,0.1071,agricultural
4.05,51.3,18.1046,0.6092,0.0,0.131,0.40650000000000003,0.0,0.0823,0.054,agricultural
4.1,51.3,14.2721,0.5871,3.4634,0.08209999999999999,0.5241,0.0,0.3661,0.0927,agricultural
4.15,51.3,9.8349,0.1425,7.1038,0.0164,0.3104,0.0,0.0206,0.0,agricultural
4.2,51.3,2.7413,0.0256,0.6309,0.0114,0.7187,0.0,0.1177,0.0452,agricultural
5.1,51.3,3.4236000000000004,0.272,0.0,0.6362,0.2203,0.0,0.005,0.2391,agricultural
5.15,51.3,7.0213,0.6878,0.0,3.8958,0.531,0.453,0.0385,0.6275,agricultural
5.2,51.3,4.336799999999999,0.2189,0.0,7.757,1.5465,0.5682,0.0242,0.4183,forest
5.25,51.3,4.9371,0.5896,0.0,9.169,2.0634,2.1379,0.0868,0.4017,forest
5.3,51.3,13.032,3.1199,0.0,1.5626000000000002,1.6632,0.0013,0.0243,0.0,agricultural
5.35,51.3,10.6215,3.065,0.0,3.4257,2.092,0.0,0.088,0.056600000000000004,agricultural
5.4,51.3,7.4413,1.643,0.0,6.4155,3.0741,0.5556,0.0861,0.1882,agricultural
5.45,51.3,7.6977,3.1524,0.0,4.2638,1.3549,1.3938,0.2912,1.2222,agricultural
5.5,51.3,4.788,0.7992,0.0,8.1938,1.0759,3.7548999999999997,0.12459999999999999,0.6431,forest
5.55,51.3,10.4398,1.7467,0.0,4.1923,2.0885,0.6807,0.2137,0.0324,agricultural
5.6,51.3,9.1022,3.1524,0.0,5.1518,1.6393,0.2007,0.1334,0.0018,agricultural
5.65,51.3,8.4274,0.8908,0.0,8.2746,0.8062,0.386,0.0768,0.526,agricultural
5.7,51.3,15.775,1.5848,0.0,0.9399000000000001,0.9296,0.0,0.1582,0.0,agricultural
5.75,51.3,14.2206,2.162,0.0,0.6496,0.8623,0.0584,0.0643,1.3688,agricultural
5.8,51.3,11.528599999999999,0.9982,0.0,1.3294000000000001,0.6281,0.7829,0.11,4.0077,agricultural
5.85,51.3,10.9994,3.2461,0.0,3.0953999999999997,1.4632,0.0229,0.1701,0.3922,agricultural
5.9,51.3,13.337399999999999,2.3454,0.0,2.4334000000000002,1.0096,0.0142,0.1921,0.0539,agricultural
5.95,51.3,9.7775,6.0657,0.0,1.7222,1.7045,0.0319,0.0848,0.0,agricultural
6.0,51.3,9.8084,1.6679,0.0,6.3197,1.4626000000000001,0.08560000000000001,0.0425,0.0,agricultural
6.05,51.3,9.746599999999999,3.8935,0.0,4.0705,1.3563,0.0573,0.2552,0.0074,agricultural
6.1,51.3,7.0146,5.9836,0.0,1.9388,3.21,0.0548,1.0981,0.0465,agricultural
6.15,51.3,2.2378,1.9349,0.0,2.5135,1.157,0.1139,0.1158,0.0044,forest
3.35,51.35,3.3285,0.4319,9.721300000000001,0.22110000000000002,1.4261,0.0013,0.1349,0.0,coast
3.4,51.35,10.7406,0.5263,5.4662,0.6072,1.814,0.0,0.2099,0.0062,agricultural
3.45,51.35,13.7857,0.577,1.7846,0.5373,2.1707,0.0,0.24159999999999998,0.2721,agricultural
3.5,51.35,15.7635,1.0025,0.0004,0.3387,1.2825,0.0482,0.919,0.0142,agricultural
3.55,51.35,12.8921,2.2168,2.5112,0.3307,1.2053,0.0,0.1703,0.0422,agricultural
3.6,51.35,10.4981,0.2706,7.9208,0.1854,0.40090000000000003,0.0,0.0748,0.0188,agricultural
3.65,51.35,7.039,0.285,11.2193,0.2115,0.47900000000000004,0.0,0.11510000000000001,0.019,coast
3.7,51.35,0.6456,0.022,18.6235,0.0232,0.0538,0.0,0.0,0.0,coast
3.75,51.35,0.2358,0.0027,19.0548,0.0,0.0711,0.0,0.0043,0.0,coast
3.8,51.35,3.4507,0.1806,15.225299999999999,0.0213,0.3296,0.0,0.1606,0.0,coast
3.85,51.35,1.6773000000000002,0.0344,17.2664,0.014700000000000001,0.35350000000000004,0.0,0.0211,0.0,coast
3.9,51.35,4.1586,0.0639,14.76,0.0456,0.3379,0.0,0.0016,0.0,coast
3.95,51.35,14.5127,0.4715,3.6425,0.053,0.5823,0.0,0.1063,0.0,agricultural
4.0,51.35,11.5469,1.7668,4.6648000000000005,0.0661,1.1471,0.0,0.1753,0.0,agricultural
4.05,51.35,4.7915,0.1524,14.1556,0.004,0.2626,0.0,0.0012,0.0,coast
4.1,51.35,0.7142000000000001,0.0717,18.4298,0.0038,0.11090000000000001,0.0,0.0368,0.0,coast
4.15,51.35,0.3529,0.0112,18.9239,0.0,0.0753,0.0,0.0036,0.0,coast
4.2,51.35,1.2155,0.1094,11.2785,0.0764,0.7253000000000001,0.0,1.6457000000000002,0.0,coast
4.25,51.35,8.1603,0.2208,0.0,0.0965,0.4867,0.0,0.3497,0.0,agricultural
4.3,51.35,5.7187,1.7005,0.0,2.0973,0.91,0.156,0.0031999999999999997,0.0322,agricultural
4.35,51.35,2.2809,1.7381,0.0,10.2704,1.1702000000000001,1.4269,0.013999999999999999,0.0004,forest
4.4,51.35,0.9718,0.2604,0.0,3.3544,0.6721999999999999,0.7537,0.0282,0.0745,forest
5.05,51.35,0.7962,0.0278,0.0,2.2428,0.2455,0.055,0.0046,0.2372,forest
5.1,51.35,11.1229,1.5956,0.0,2.6837,0.9988,0.25,0.0292,0.1636,agricultural
5.15,51.35,12.3691,4.0424,0.0,1.5186,1.3729,0.0,0.0571,0.0024,agricultural
5.2,51.35,11.2613,4.9532,0.0,1.2386,1.774,0.0076,0.0898,0.044,agricultural
5.25,51.35,10.8894,4.3937,0.0,1.7435999999999998,2.2473,0.0064,0.0881,0.0,agricultural
